City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,hermanus,-34.4187,19.2345,18.22,71,38,8.32,ZA,1730912558
133,dabhoi,22.1833,73.4333,25.96,39,8,1.89,IN,1730912559
134,galle,6.0367,80.217,26.07,84,64,4.28,LK,1730912560
135,mana,5.6592,-53.7767,30.11,65,71,5.04,GF,1730912561
136,coyhaique,-45.5752,-72.0662,7.21,88,48,3.32,CL,1730912563
137,daru,-9.0763,143.2092,26.27,85,100,6.15,PG,1730912564
138,pacific grove,36.6177,-121.9166,17.06,51,0,7.15,US,1730912565
139,najafabad,32.6344,51.3668,19.16,32,11,3.56,IR,1730912566
140,lihue,21.9789,-159.3672,23.77,88,75,8.23,US,1730912215
141,tobelo,1.7284,128.0095,26.7,83,34,0.45,ID,1730912568
142,udachny,66.4167,112.4,-12.28,92,87,2.18,RU,1730912570
143,isangel,-19.55,169.2667,22.75,86,31,3.02,VU,1730912571
144,serafimovskiy,54.4241,53.7964,-5.4,88,100,6.22,RU,1730912572
145,weno,7.4515,151.8468,28.38,76,99,3.08,FM,1730912573
146,chonchi,-42.6128,-73.8092,14.51,42,31,0.7,CL,1730912574
147,pader,3.05,33.2167,24.58,49,98,1.68,UG,1730912576
148,at-bashi,41.1702,75.8106,6.11,93,100,2.42,KG,1730912577
149,scituate,42.1959,-70.7259,26.0,58,0,6.17,US,1730912578
150,kirovskiy,45.0917,133.5136,-5.08,52,0,1.57,RU,1730912579
151,luderitz,-26.6481,15.1594,16.82,64,7,1.71,NA,1730912580
152,hastings,50.8552,0.5729,10.86,54,100,3.59,GB,1730912582
153,la passe,45.5549,-0.8967,16.93,78,4,3.45,FR,1730912583
154,invercargill,-46.4,168.35,7.79,96,9,1.62,NZ,1730912293
155,vorgashor,67.5833,63.95,-6.8,96,100,4.46,RU,1730912585
156,villa gesell,-37.2639,-56.973,21.38,55,69,2.39,AR,1730912586
157,mabaruma,8.2,-59.7833,32.74,51,70,3.34,GY,1730912587
158,egilsstadir,65.2653,-14.3948,3.95,56,75,1.03,IS,1730912589
159,new norfolk,-42.7826,147.0587,6.53,92,23,1.45,AU,1730912590
160,qaqortoq,60.7167,-46.0333,-8.21,71,1,1.47,GL,1730912591
161,sabang,5.8933,95.3214,27.48,77,95,3.85,ID,1730912592
162,yaren,-0.5472,166.916,27.84,75,100,2.52,NR,1730912593
163,leava,-14.3,-178.1667,27.17,78,55,9.72,WF,1730912594
164,tolanaro,-25.0319,46.9987,25.04,78,20,8.75,MG,1730912596
165,fernie,49.5,-115.0687,-0.9,91,100,1.74,CA,1730912409
166,carnarvon,-24.8667,113.6333,20.8,67,4,9.89,AU,1730912598
167,ginir,7.1333,40.7,15.5,69,85,1.87,ET,1730912599
168,stanley,54.868,-1.6985,13.01,88,75,1.54,GB,1730912600
169,kone,-21.0595,164.8658,19.68,88,29,1.96,NC,1730912602
170,constantia,44.1833,28.65,6.5,53,0,1.22,RO,1730912603
171,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,53,0,5.0,RU,1730912604
172,sao vicente,-23.9631,-46.3919,24.99,26,100,2.06,BR,1730912605
173,masvingo,-20.0637,30.8277,20.78,69,81,2.49,ZW,1730912606
174,olyokminsk,60.3736,120.4264,-10.94,96,76,2.19,RU,1730912607
175,kununurra,-15.7667,128.7333,27.99,74,98,3.09,AU,1730912610
176,strathalbyn,-35.2667,138.9,11.58,87,93,1.89,AU,1730912611
177,usogorsk,63.4106,48.6872,-3.29,95,100,4.11,RU,1730912612
